Periodes;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Debut;Fin
P1;6;2;1;0;2;0;6;0;2;2;6;3;1;50
P2;6;2;1;0;2;0;6;0;2;3;6;3;51;100
P3;6;2;1;0;2;0;7;0;2;3;6;3;101;150
P4;6;2;1;0;2;0;7;0;2;2;6;3;151;200
P5;6;2;0;0;2;0;6;0;2;4;6;3;201;250
P6;6;2;0;7;2;0;6;0;2;4;6;4;251;300
P7;4;2;0;7;1;0;4;0;2;1;6;3;301;350
P8;4;2;0;7;0;0;4;0;2;2;6;5;351;400
P9;4;2;0;7;0;0;5;0;2;3;6;5;401;450
P10;4;2;0;7;0;0;6;0;2;3;6;5;451;500
P11;4;2;0;7;2;0;3;1;1;2;6;4;501;550
P12;4;2;0;7;2;0;3;1;1;2;6;4;551;600
P13;5;2;0;7;2;0;3;4;3;2;6;4;601;650
P14;5;2;0;1;4;0;3;7;3;2;6;4;651;700
P15;12;2;0;1;3;0;5;7;3;3;6;4;701;750
P16;12;2;0;1;3;0;5;7;3;3;6;4;751;800
P17;13;4;0;1;3;0;4;10;3;4;6;4;801;850
P18;13;4;0;2;3;0;4;10;3;4;6;4;851;900
P19;12;4;0;2;3;0;4;10;3;5;6;4;901;950
P20;14;3;0;1;4;0;5;10;3;5;6;4;951;1000
P21;31;3;0;1;5;0;5;17;5;7;6;4;1001;1050
P22;33;3;0;1;4;0;5;17;5;7;6;4;1051;1100
P23;39;5;0;1;6;1;7;17;4;7;6;1;1101;1150
P24;52;6;0;11;6;4;9;23;5;7;6;1;1151;1200
P25;62;6;1;11;4;4;12;28;9;9;7;3;1201;1250
P26;66;7;1;11;5;6;13;29;11;14;7;3;1251;1300
P27;69;4;1;10;4;7;12;28;12;16;7;3;1301;1350
P28;72;4;1;12;5;8;12;28;13;20;7;3;1351;1400
P29;69;3;1;11;6;7;12;31;11;21;5;1;1401;1450
P30;68;4;2;12;6;7;13;31;11;21;5;1;1451;1500
P31;70;4;2;13;7;9;18;32;11;20;5;1;1501;1550
P32;72;6;2;20;9;6;12;36;12;20;4;1;1551;1600
P33;76;7;2;23;8;4;12;33;13;23;5;0;1601;1650
P34;76;8;2;21;8;10;12;32;13;22;6;0;1651;1700
P35;73;7;2;17;8;7;12;32;14;22;5;0;1701;1750
P36;76;3;2;18;11;9;15;32;13;23;5;0;1751;1800
P37;74;6;2;18;5;4;5;1;2;20;4;0;1801;1850
P38;80;7;2;19;4;8;4;1;1;20;4;0;1851;1900
P39;96;7;2;6;11;12;3;1;5;19;3;0;1901;1950
P40;75;4;2;4;16;9;2;1;4;12;3;0;1951;2000
P41;74;1;1;2;12;7;1;2;3;7;3;0;2001;2016
